original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
THX 1138,1971,"Drama, Sci-Fi, Thriller",86,USA,English,6.7,2.437,86.0,67.0
Tristana,1970,Drama,99,"Spain, Italy, France",Spanish,7.5,0.014586,97.0,75.0
Bananas,1971,Comedy,82,USA,"English, Spanish, Yiddish, Italian",7.0,0.1362,82.0,70.0
The Beguiled,1971,"Drama, Thriller, War",105,USA,"English, French",7.2,1.113069,89.0,72.0
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136,"UK, USA",English,8.3,26.90344,88.0,83.0
Diamonds Are Forever,1971,"Action, Adventure, Thriller",120,UK,"English, German",6.6,43.819547,64.0,66.0
Dirty Harry,1971,"Action, Crime, Thriller",102,USA,English,7.7,35.976,89.0,77.0
Escape from the Planet of the Apes,1971,"Action, Sci-Fi",98,USA,English,6.3,12.348905,77.0,63.0
Fiddler on the Roof,1971,"Drama, Family, Musical",181,USA,"English, Hebrew, Russian",8.0,10.40433,83.0,80.0
The French Connection,1971,"Action, Crime, Drama",104,USA,"English, French",7.7,51.7,98.0,77.0
Johnny Got His Gun,1971,"Drama, War",111,USA,English,7.9,0.002735,67.0,79.0
Klute,1971,"Crime, Mystery, Thriller",114,USA,English,7.1,0.03405,93.0,71.0
